# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/27/2018,Dublin,OH,USA,PC,Laura Norton,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000171/,,12,40.10497,-83.13309
10/27/2018,Gaithersburg,MD,USA,PC,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002640/,to immediately follow MSS,10,39.14036,-77.19373
10/27/2018,San Antonio,TX,USA,PC,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003007/,,10,29.42458,-98.49461
10/27/2018,Tijuana,Baja California,MEX,PC,Luis Alberto Valencia Rodriguez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003482/,,,32.53508,-117.04097
10/27/2018,Niles,IL,USA,PC,Joseph Cross,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003277/,,17,42.02621,-87.80077
10/28/2018,Fincastle,VA,USA,PC,Marthe Honts,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000185/,,8,37.4998,-79.87243
10/28/2018,Montreal,Quebec,CAN,PC,Myles Sachin,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002374/,,10,45.51241,-73.55469
10/28/2018,Monterrey,Nuevo Leon,MEX,PC,Moises Briones,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002152/,,9,25.67093,-100.30999
10/28/2018,Houston,TX,USA,PC,Miki Andrade,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002668/,,9,29.76059,-95.36968
10/28/2018,Charlotte,NC,USA,PC,Nora Worley,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003126/,,8,35.22287,-80.83796
10/28/2018,Lincoln Park,IL,USA,PC,Ryan Hebert,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003721/,,,41.92224,-87.64829
10/30/2018,Chicago,IL,USA,PC,Matthew Verive,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003419/,,,41.88425,-87.63245
